18:10:14.230 INFO  ServiceLayer - The logout process failed - the yubal isn't exists on the system. 
18:10:14.239 INFO  User - logout - The user yuval tried to disconnect but was not connected in the first place. 
18:10:14.242 INFO  User - logout - The user yuval tried to disconnect but was not connected in the first place. 
18:10:14.242 INFO  User - logout - The user yuval tried to disconnect but was not connected in the first place. 
18:10:14.244 INFO  ServiceLayer - The logout process failed - the yubal isn't exists on the system. 
18:10:15.101 INFO  User - login - Incorrect user name(yubal) or password (123456)  
18:10:15.102 INFO  User - login - Incorrect user name(yuval) or password (wrongPassword)  
18:10:15.102 INFO  User - login - The yuval already connected 
18:10:15.111 INFO  User - login - Incorrect user name(yubal) or password (123456)  
18:10:15.111 INFO  User - login - Incorrect user name(yuval) or password (wrongPassword)  
18:10:15.112 INFO  User - login - The yuval already connected 
18:10:15.113 INFO  ServiceLayer - The login process failed - the yubal isn't exists on the system. 
18:10:15.117 INFO  ServiceLayer - The login process failed - the yubal isn't exists on the system. 
18:10:16.541 INFO  ServiceLayer - editEmployee - The addNewEmployee process failed - the -1 not exists on the system. 
18:10:16.555 INFO  ServiceLayer - editEmployee - The addNewEmployee process failed - the -1 not exists on the system. 
18:10:16.562 INFO  EmployeeManagemnt- editEmployee - The -1 already exist 
18:10:17.594 INFO  EmployeeManagemnt- deleteEmployee - The -1 does not exist 
18:10:17.606 INFO  ServiceLayer - deleteEmployee - The deleteEmployee process failed - the dummy not exists on the system. 
18:10:17.606 INFO  ServiceLayer - The deleteEmployee process failed - the dummy , who initiated the operation, does not exist in the system 
18:10:17.609 INFO  ServiceLayer - deleteEmployee - The deleteEmployee process failed - the dummy not exists on the system. 
18:10:17.609 INFO  ServiceLayer - The deleteEmployee process failed - the dummy , who initiated the operation, does not exist in the system 
18:10:18.750 INFO  ServiceLayer - The addNewEmployee process failed - the dummy , who initiated the operation, does not exist in the system 
18:10:18.752 INFO  ServiceLayer - The addNewEmployee process failed - the userUserName exists on the system. 
18:10:18.763 INFO  EmployeeManagemnt- addNewEmployee - The adminUserName already exist 
18:11:30.602 INFO  CinemaSystem - addMovie - The operation cannot be completed - the user is not connected to the system 
